行政區,機構名稱,地址,電話,開放時間,位置指引,基本設備,友善設備或服務,優良哺集乳室認證效期,輪椅使用,貼心小提醒
大安區,臺北市政府警察局大安分局,臺北市大安區仁愛路3段2號1樓,02-23255821,每日24小時開放,1樓收發室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
大安區,臺灣銀行信義分行,臺北市大安區信義路2段88號,02-23515486轉255,週一至週五09:00~15:30,地下1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
大安區,臺北大眾捷運股份有限公司忠孝新生站,臺北市大安區新生南路1段67號,02-21812345,週一至週日06:00~24:00,地下1樓西側大廳通道,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,哺集乳室資訊依各場所實際公告內容為主
大安區,太平洋崇光百貨股份有限公司復興館,臺北市大安區忠孝東路3段300號,02-27765555轉3327,週一至週日11:00~21:30,4樓西側電梯旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
大安區,遠企購物中心（亞東百貨股份有限公司）,臺北市大安區敦化南路2段203號,02-23786666轉6666,週一至週日11:00~21:30,4樓多功能教室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,可提供輪椅媽媽使用,自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
大安區,臺北市大安地政事務所,臺北市大安區信義路4段335巷6號,02-27548900轉411,週一至週五08:30~17:00,本所2樓測量課旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
大安區,臺灣銀行信安分行,臺北市大安區信義路3段132號,02-27057905轉302,週一至週五09:00~15:30,3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
大安區,財政部臺北市國稅局大安分局,臺北市大安區新生南路2段86號,02-23587979轉311,週一至週五08:30~17:30,4樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
大安區,臺北市立圖書館龍安民眾閱覽室,臺北市大安區永康街60號,02-23945485,週一至週日09:00~18:00（每月第一個週四不開放）,3樓自修室廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
大安區,臺北市立圖書館道藩分館,臺北市大安區辛亥路3段11號3樓,02-27334031,週日、週一09:00~17:00；週二至週六08:30~21:00,3樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;消毒器具;母乳哺育宣導資訊;進行滿意度調查,無,無,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
大安區,國家教育研究院,臺北市大安區和平東路1段179號,02-77407628,週一至週五09:00~17:00,2樓電梯正對面,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;母乳哺育宣導資訊;進行滿意度調查,無,無,自行前往並登記；哺集乳室資訊依各場所實際公告內容為主
大安區,土地銀行和平分行,臺北市大安區和平東路3段15號,02-27057505轉303,週一至週五09:00~15:30,東樓1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
大安區,太平洋崇光百貨股份有限公司敦化館,臺北市敦化南路1段246號,02-27765555轉2863~2867,週日至週四11:00~21:30；週五、週六、國定假日前一天、特殊檔期11:00~22:00,2樓電梯旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,顧客可自行前往哺集乳室；哺集乳室資訊依各場所實際公告內容為主
大安區,建南區民活動中心,臺北市大安區信義路3段134巷82號,02-23511711轉8212,週一至週五08:00~17:00,2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
大安區,臺北市大安森林公園,臺北市大安區新生南路2段1號,02-27003830,週一至週日08:00~22:00,露天音樂臺地下1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
大安區,臺北大眾捷運股份有限公司東門站,臺北市大安區信義路2段166號,02-21812345,週一至週日06:00~24:00,地下1樓東側大廳廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,無,自行前往哺集乳室，由專人協助開門；哺集乳室資訊依各場所實際公告內容為主
大安區,臺北大眾捷運股份有限公司大安站,臺北市大安區信義路3段180號,02-21812345,週一至週日06:00~24:00,3號出口付費區內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,至服務台或按對講機尋求協助，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
大安區,臺北大眾捷運股份有限公司大安森林公園站,臺北市大安區信義路3段100號,02-21812345,週一至週日06:00~24:00,地下1樓西側陽光大廳廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,可提供輪椅媽媽使用,門口有對講機，由專人協助開門；哺集乳室資訊依各場所實際公告內容為主
大安區,鼎鼎大飯店股份有限公司台北遠東國際大飯店,臺北市大安區敦化南路2段201號,02-77003262,週一至週日09:00~18:00,地下1樓Meeting Center,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;置物空間;母乳哺育宣導資訊,112年8月,無,開放時間不上鎖；非開放時間若有使用需求，可洽服務中心；哺集乳室資訊依各場所實際公告內容為主
大安區,台北福華大飯店,臺北市大安區仁愛路3段160號,02-27002323轉2025,週一至週日06:00~22:00,4樓健身房內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;置物空間;母乳哺育宣導資訊,無,無,健身房櫃台登記，協助帶領開門；哺集乳室資訊依各場所實際公告內容為主
大安區,臺北和平籃球館,臺北市大安區敦南街76巷28號,02-66170101轉1600,活動期間或覽館租借期間,2樓東側,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,無,哺集乳室資訊依各場所實際公告內容為主
大安區,臺北和平籃球館,臺北市大安區敦南街76巷28號,02-66170101轉1600,活動期間或覽館租借期間,2樓西側,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,無,哺集乳室資訊依各場所實際公告內容為主
大安區,國聯飯店,臺北市大安區光復南路200號,02-27331515轉103,週一至週日07:00~22:00,18樓健身中心內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
大安區,福容大飯店股份有限公司台北分公司,臺北市大安區建國南路1段266號,02-27019266,週一至週日09:00~18:00,俱樂部內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,可提供輪椅媽媽使用,至服務台登記或詢問；哺集乳室資訊依各場所實際公告內容為主
大安區,公有南門市場,臺北市大安區杭州南路2段55號,02-23218069；02-23279857,週二至週日08:00~18:00,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市中山區健康服務中心,臺北市中山區松江路367號7樓,02-25014616轉6355,週一至週五08:30~11:30、13:30~16:30,1樓中山門診部內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市中山地政事務所,臺北市中山區松江路357巷1號,02-25022881轉403,週一至週五08:30~17:30,中山地政大樓2樓登記課旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市立美術館,臺北市中山北路3段181號,02-25957656轉515,週二至週日09:30~15:30；週六09:30~20:30,地下1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,可提供輪椅媽媽使用,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市政府警察局中山分局,臺北市中山區中山北路2段1號,02-25362459,每日24小時開放,10樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,可提供輪椅媽媽使用,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市立聯合醫院林森中醫昆明院區,臺北市中山區林森北路530號,02-25916681轉1112,每日24小時開放,醫療大樓3樓電梯口對面,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,無,可提供輪椅媽媽使用,自行前往哺集乳室，並紙本登記；哺集乳室資訊依各場所實際公告內容為主
中山區,協和婦女醫院,臺北市中山區松江路85巷5號,02-25072222轉103,週一至週五08:00~17:00,1樓婦產科門診候診區C-room,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
中山區,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路2段92號,02-25433535,週一至週五08:00~17:00,平安樓1樓急診側門右方，公廁旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;置物空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,未上鎖 （使用中可由內部自行上鎖）、無需登記；哺集乳室資訊依各場所實際公告內容為主
中山區,新光三越百貨股份有限公司台北南西分公司,臺北市中山區南京西路12號,02-25682868轉3617、3508,週日至週四11:00~21:30；週五、週六及例假日前一天11:00~22:00,一館6樓育嬰室內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱,112年8月,以室內設備為主,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
中山區,美麗華城市發展股份有限公司,臺北市中山區敬業三路20號,02-21753456轉2231,週一至週日11:00~22:00,4樓歡樂兒童館,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店,臺北市中山區中山北路4段1巷1號,02-28861818轉1610,每日24小時開放,V樓 （3號4號電梯斜對面）,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,無,可提供輪椅媽媽使用,至諮詢櫃檯台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,教育部體育署,臺北市中山區朱崙街20號,02-87711904,週一至週五08:30~17:30,1樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;消毒器具;母乳哺育宣導資訊,112年8月,無,至服務窗口登記，由專人協助帶領；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市中山運動中心,臺北市中山區中山北路2段44巷2號,02-25811060轉221,週一至週日06:00~22:00,1樓兒童遊戲室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市殯葬管理處第一殯儀館,臺北市中山區民權東路2段145號,02-25131055轉1055,週一至週日08:00~17:00,家屬休息室內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;置物空間,無,可提供輪椅媽媽使用,至管理員辦公室登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北自來水事業處北區營業分處,臺北市中山區長安西路3號2樓,02-21004100,週一至週五09:00~18:00,中山大樓2樓服務台旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,可提供輪椅媽媽使用,至服務台登記由專人帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,潤泰創新國際股份有限公司中崙分公司,臺北市中山區八德路2段306號,02-27790006轉501、555 ,週一至週日08:30~23:00,地下1樓美商街,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;設置意見回饋箱;進行滿意度調查,無,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
中山區,家樂福大直店,臺北市中山區樂群三路218號,02-85095577轉870,週一至週四09:00~23:00；週五至週日09:00~24:00,地下1樓手扶梯旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市立圖書館大直分館,臺北市中山區大直街25號3至5樓,02-25336535,週日、週一09:00~17:00；週二至週六08:30~21:00,大直分館3樓兒童室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;消毒器具;置物空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市立圖書館恆安民眾閱覽室,臺北市中山區民權東路1段71巷19號2樓,02-25935482,週日、週一09:00~17:00；週二至週六08:30~21:00,2樓男廁對面,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;母乳專用冰箱;免費衛生用品;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,哺集乳室採上鎖管理，需先至櫃檯登記，並借取鑰匙；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市立圖書館中山分館,臺北市中山區松江路367號8樓,02-25026442,週日、週一09:00~17:00；週二至週六08:30~21:00,8樓電梯旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊,無,可提供輪椅媽媽使用,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,桑斯伯國際有限公司榮星公園營業站（臺北市政府勞動局委外）,臺北市中山區建國北路3段39號,02-25172371,週二至週日09:00~17:00,2樓,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,中山老人住宅暨服務中心,臺北市中山區新生北路2段101巷2號,02-25420006轉338,週一至週日09:00~17:00,1樓電腦教室內,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,花博公園天使生活館,臺北市中山區濱江街6號,02-25857228轉105,週二至週日09:00~17:00,1樓洗手間對面,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,桑斯博國際有限公司新生公園營業站（臺北市政府工務局公園路燈管理處新生公園游泳池委外）,臺北市中山區新生北路3段105號,02-25956489、02-25956590,週二至週日09:00~17:00,1樓入口右側更衣室旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市政府民政局林安泰古厝民俗文物館,臺北市中山區濱江街5號,02-25996026,週二至週日09:00~17:00 ,古厝內右外護龍,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;消毒器具;置物空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,無,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
中山區,財政部臺北國稅局松山分局,臺北市中山區南京東路3段131號3樓,02-27183606轉107,週一至週日08:30~17:30,華航大樓3樓服務台旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,無,可提供輪椅媽媽使用,至服務台登記，由專人協助帶領；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市立圖書館長安分館,臺北市中山區長安西路3號4樓,02-25625540,週日、週一09:00~17:00；週二至週六08:30~21:00,中山大樓4樓飲水機旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,尿布台;置物空間;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,至服務台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
中山區,中山公民會館,臺北市中山區中山北路2段128號,02-25314169,週二至週六09:00~12:00、14:00~21:00；週日 09:00~12:00、14:00~17:00,2樓文史工作室對面,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,新光三越百貨股份有限公司台北南西分公司三館,臺北市中山區南京西路15號,02-25682868轉3075,週一至週日11:00~22:00,5樓廁所旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,臺北漁產運銷股份有限公司,臺北市中山區民族東路410巷2弄20號,02-25099490 ,週一至週五08:30~17:30,1樓側門入口處,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,臺北農產運銷股份有限公司,臺北市中山區民族東路336號,02-25162519轉5816,週一至週五08:00~17:00,1樓管理部總務課1樓警衛後方,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,以室內設備為主,無,以室內設備為主,哺集乳室資訊依各場所實際公告內容為主
中山區,臺北大眾捷運股份有限公司松江南京站,臺北市中山區松江路126號,02-21812345,週一至週日09:00~17:00,捷運6、7號出口旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;消毒器具;母乳哺育宣導資訊;進行滿意度調查,112年8月,無,哺集乳室資訊依各場所實際公告內容為主
中山區,財政部臺北國稅局中北稽徵所,臺北市中山區松江路219號3樓,02-25024181轉5103、02-25063050轉5222,週一至週五08:30~17:30,中南稽徵所3樓茶水間旁,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;母乳專用冰箱;置物空間,無,可提供輪椅媽媽使用,自行前往哺集乳室，並登記；哺集乳室資訊依各場所實際公告內容為主
中山區,臺北市政府消防局第三救災救護大隊中山中隊松江分隊,臺北市中山區松江路25巷9號,02-25178353,週一至週五09:00~18:00,1樓值班室後側,靠背椅;有蓋垃圾桶;電源設備 （插座或延長線）;可由內部上鎖之門;緊急求救設備 （求救鈴或電話等）;洗手設施 （洗手台或乾洗手液）,飲水服務;尿布台;免費衛生用品;消毒器具;置物空間;嬰兒車停放空間;母乳哺育宣導資訊;設置意見回饋箱;進行滿意度調查,112年8月,可提供輪椅媽媽使用,至值班台登記，由專人協助帶領及開門；哺集乳室資訊依各場所實際公告內容為主
